pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,hits,abs,exit_velocity,launch_angle,spin_rate,velocity,effective_speed
29843,434378,Justin Verlander,29843,100,0.236,0.128,0.291,0.364,1604,6804,26.3,10.7,2433,89.5,88.64
29104,448306,James Shields,29104,100,0.255,0.16,0.3,0.415,1820,7128,22.8,6.6,2164,86.71,87.32
28576,452657,Jon Lester,28576,100,0.243,0.131,0.3,0.374,1608,6615,21.1,6.6,2220,88.63,88.33
28021,433587,Felix Hernandez,28021,100,0.233,0.11,0.292,0.343,1596,6845,21.9,3.3,1976,89.69,87.67
27975,430935,Cole Hamels,27975,100,0.239,0.143,0.29,0.382,1612,6753,23.1,5.9,2005,87.22,88.56
27215,425844,Zack Greinke,27215,100,0.239,0.127,0.298,0.366,1569,6553,22.4,6.6,2158,88.12,88.31
26875,434622,Ubaldo Jimenez,26875,100,0.247,0.133,0.304,0.38,1468,5934,21.9,7.1,1931,89.47,87.3
26428,477132,Clayton Kershaw,26428,100,0.205,0.097,0.276,0.302,1277,6222,20.5,5.9,2135,88.66,88.34
26423,450308,Jered Weaver,26423,100,0.239,0.154,0.272,0.393,1494,6244,28,9,2027,82.53,77.21
26086,453286,Max Scherzer,26086,100,0.233,0.151,0.298,0.384,1372,5890,22.6,9.3,2268,89.83,89.78
25949,429717,Dan Haren,25949,100,0.251,0.163,0.29,0.414,1576,6290,19.8,8.1,2146,85.94,82.19
25879,282332,CC Sabathia,25879,100,0.251,0.134,0.302,0.385,1597,6354,24.3,5.3,1943,88.35,87.48
25377,150359,A.J. Burnett,25377,100,0.256,0.142,0.311,0.398,1527,5966,18.7,2.9,1985,89.04,88.3
25323,279824,Mark Buehrle,25323,100,0.279,0.146,0.301,0.425,1791,6422,23.2,4.6,1930,81.52,80.56
24985,425386,Jeremy Guthrie,24985,100,0.273,0.174,0.286,0.447,1642,6024,20.7,7.5,2047,88.33,86.88
24930,453311,Tim Lincecum,24930,100,0.238,0.129,0.305,0.367,1333,5610,20.9,5.6,1835,86.8,83.49
24926,429722,Ervin Santana,24926,100,0.252,0.159,0.287,0.411,1527,6060,29.1,6.8,1778,88.6,88.04
24697,456034,David Price,24697,100,0.235,0.128,0.291,0.364,1383,5884,23.4,6.5,2081,90.34,89.1
24491,456501,Johnny Cueto,24491,100,0.237,0.136,0.279,0.374,1362,5739,25,6.6,2118,89.26,87.97
24269,285079,R.A. Dickey,24269,100,0.247,0.155,0.275,0.402,1460,5901,27.2,5.9,610,77.03,75.3
23909,451596,Yovani Gallardo,23909,100,0.252,0.14,0.303,0.392,1342,5329,21.4,5.3,2134,88.13,87.34
23528,430912,Matt Cain,23528,100,0.235,0.148,0.273,0.383,1296,5513,31.1,9.3,2355,87.98,85.82
23290,461829,Gio Gonzalez,23290,100,0.24,0.123,0.301,0.362,1237,5156,23.2,4.6,2229,88.04,87.27
23185,445060,Ricky Nolasco,23185,100,0.277,0.162,0.321,0.439,1582,5720,41.9,8.8,1789,85.16,83.85
22508,429719,Edwin Jackson,22508,100,0.27,0.158,0.311,0.428,1432,5304,19.5,8.1,2170,90.65,90.84
22379,407793,John Lackey,22379,100,0.265,0.153,0.306,0.418,1459,5505,25.7,6.9,2040,87.85,88.54
22323,490063,Matt Garza,22323,100,0.25,0.146,0.289,0.396,1323,5290,21.7,7,1927,89.41,89.14
22316,421685,Aaron Harang,22316,100,0.275,0.172,0.31,0.447,1429,5195,20.1,7.4,2174,86.31,86.48
22136,433579,John Danks,22136,100,0.261,0.162,0.292,0.423,1372,5251,21,7.9,2117,86.4,84.08
21889,453178,Ian Kennedy,21889,100,0.248,0.175,0.294,0.423,1237,4978,22.5,7.5,2270,86.91,88.02
21644,450172,Edinson Volquez,21644,100,0.248,0.138,0.297,0.386,1191,4800,25.3,5.3,2130,87.78,88.63
21528,450351,C.J. Wilson,21528,100,0.239,0.117,0.291,0.356,1135,4748,18.3,5.8,2081,87.45,85.67
21469,519144,Rick Porcello,21469,100,0.281,0.144,0.313,0.425,1504,5348,27.2,6.5,2352,87.62,87.19
21460,434538,Francisco Liriano,21460,100,0.243,0.128,0.304,0.371,1185,4886,20.2,4.4,1952,88.85,88.83
21341,346798,Kyle Lohse,21341,100,0.266,0.156,0.291,0.422,1403,5277,19.8,7.3,2006,85.66,83.75
20892,434628,Jason Hammel,20892,100,0.262,0.157,0.299,0.419,1312,5003,24.4,8.3,1944,88.5,88.26
20889,425794,Adam Wainwright,20889,100,0.243,0.112,0.297,0.355,1269,5227,52.6,8,2303,84.88,84.4
20855,434671,Anibal Sanchez,20855,100,0.253,0.141,0.307,0.395,1227,4846,24.8,8.8,2107,87.63,88.09
20830,424324,Cliff Lee,20830,100,0.25,0.123,0.306,0.374,1351,5394,,,,87.73,
20807,460059,Mike Pelfrey,20807,100,0.292,0.131,0.32,0.423,1416,4848,27.9,5.5,1743,89.74,90.71
20412,493133,Hiroki Kuroda,20412,100,0.249,0.137,0.285,0.386,1255,5037,,,,88.4,
20390,408241,Jake Peavy,20390,100,0.244,0.151,0.287,0.396,1162,4758,27.5,10.4,2349,87.29,85.87
20261,518516,Madison Bumgarner,20261,100,0.232,0.127,0.29,0.359,1126,4845,22,7,2252,87.6,87.72
20214,276520,Bronson Arroyo,20214,100,0.264,0.177,0.279,0.442,1338,5064,,,,81,
19829,475416,Justin Masterson,19829,100,0.259,0.118,0.311,0.377,1181,4553,17.5,3.6,1966,89.17,85.27
19257,457918,J.A. Happ,19257,100,0.253,0.163,0.294,0.416,1080,4263,25.3,7.4,2233,87.81,88.38
19250,444857,Scott Feldman,19250,100,0.267,0.148,0.29,0.415,1194,4470,25.3,4.7,2230,86.15,85.32
19211,434578,Joe Saunders,19211,100,0.283,0.169,0.3,0.452,1324,4675,,,,86.19,
19175,133225,Ryan Dempster,19175,100,0.251,0.151,0.301,0.402,1096,4375,,,,87.26,
18591,452718,Kyle Kendrick,18591,100,0.281,0.175,0.296,0.456,1277,4551,20.9,6.4,2110,87.01,85.03
18555,477003,Jonathon Niese,18555,100,0.274,0.146,0.317,0.42,1247,4543,28,3.8,1962,85.86,85.94
18526,450729,Doug Fister,18526,100,0.26,0.127,0.293,0.388,1197,4596,31.5,6.4,1930,84.78,84.03
18443,431148,Scott Kazmir,18443,100,0.248,0.16,0.29,0.408,1014,4094,23,6.7,1981,87.43,86
18418,218596,Tim Hudson,18418,100,0.25,0.118,0.28,0.367,1173,4695,20.5,3,2004,86.52,83.8
18367,429781,Kevin Correia,18367,100,0.285,0.16,0.307,0.445,1283,4504,22.3,4,2222,86.99,84.81
18362,461833,Phil Hughes,18362,100,0.271,0.172,0.306,0.443,1203,4442,29.9,7.9,2123,88.05,87.05
18342,502239,Trevor Cahill,18342,100,0.256,0.14,0.289,0.396,1081,4225,26.8,4.3,2119,86.56,87.92
18273,434643,Wandy Rodriguez,18273,100,0.256,0.152,0.3,0.409,1092,4263,17.1,6.3,2322,84.16,82.75
18242,430904,Paul Maholm,18242,100,0.276,0.144,0.309,0.42,1237,4475,,,,83.71,
18241,502032,Bud Norris,18241,100,0.261,0.162,0.311,0.423,1072,4111,28,7.4,1976,89.75,90.65
18205,519455,Jordan Zimmermann,18205,100,0.254,0.137,0.299,0.39,1145,4512,25.5,7.6,2290,90.01,89.45
17901,502190,Mike Leake,17901,100,0.266,0.16,0.292,0.426,1219,4587,28.3,4.5,2097,87.03,86.66
17869,407822,Jorge De La Rosa,17869,100,0.251,0.156,0.297,0.407,1004,3997,21.9,3.6,1737,87.5,85.23
17837,502009,Mat Latos,17837,100,0.239,0.136,0.285,0.374,1012,4238,26.4,7,1900,88.41,86.98
17731,502188,Jeff Samardzija,17731,100,0.25,0.154,0.297,0.404,1053,4217,25.5,7.4,2282,90.9,91.02
17486,136880,Roy Halladay,17486,100,0.246,0.12,0.296,0.366,1103,4479,,,,87.51,
17412,453329,Clay Buchholz,17412,100,0.254,0.136,0.291,0.389,1043,4110,28.7,7.7,2209,87.5,87.32
17338,433584,Roberto Hernandez,17338,100,0.271,0.154,0.293,0.425,1114,4110,21.2,2.6,1889,89.54,87.16
17078,150116,Randy Wolf,17078,100,0.268,0.164,0.299,0.432,1068,3990,20.1,7,2034,82.6,82.38
17068,450306,Jason Vargas,17068,100,0.262,0.153,0.286,0.416,1091,4163,19,4.9,2294,84.03,83.32
16922,425856,Gavin Floyd,16922,100,0.252,0.148,0.29,0.4,1029,4079,38.6,7,2172,87.34,89.59
16887,430599,Joe Blanton,16887,100,0.275,0.176,0.31,0.45,1149,4182,23.6,7,2053,85.88,86.57
16390,277417,Josh Beckett,16390,100,0.249,0.159,0.294,0.409,980,3928,,,,88.41,
16338,501957,Chris Tillman,16338,100,0.25,0.17,0.277,0.42,909,3637,25.2,7.8,2082,87.24,88.34
16096,217096,Barry Zito,16096,100,0.268,0.158,0.299,0.426,972,3625,17.6,6.7,2028,79.71,79.19
16092,112526,Bartolo Colon,16092,100,0.272,0.148,0.302,0.42,1169,4293,29.6,6.3,2115,88.5,85.73
15963,451532,Chad Billingsley,15963,100,0.255,0.125,0.312,0.38,931,3648,21.6,5.3,2167,87.71,86.96
15808,456701,Homer Bailey,15808,100,0.259,0.15,0.301,0.409,956,3690,33.7,3.1,1799,89.73,87.15
15692,519242,Chris Sale,15692,100,0.224,0.127,0.292,0.351,831,3714,21.5,8.5,2199,88.09,88.25
15533,407890,Colby Lewis,15533,100,0.255,0.171,0.286,0.426,963,3783,26.9,9,2147,85.8,84.04
15300,502706,Derek Holland,15300,100,0.262,0.169,0.298,0.431,959,3663,35.5,9.8,2083,88.97,87.33
15279,117955,Derek Lowe,15279,100,0.282,0.124,0.317,0.406,1038,3679,,,,86.19,
14752,476451,Jeremy Hellickson,14752,100,0.249,0.175,0.276,0.423,848,3408,25.8,8,2203,85.49,84.6
14726,453562,Jake Arrieta,14726,100,0.223,0.123,0.273,0.346,748,3356,21.4,5.1,2252,89.98,90.95
14691,489119,Wade Miley,14691,100,0.267,0.152,0.309,0.419,950,3552,23.5,5,2092,87.86,86.9
14638,460024,Luke Hochevar,14638,100,0.264,0.172,0.299,0.436,931,3533,23.8,10,2300,88.31,89.39
14439,450203,Charlie Morton,14439,100,0.276,0.127,0.318,0.404,954,3451,21.6,2.6,2211,87.78,87.06
14248,475243,Travis Wood,14248,100,0.243,0.154,0.281,0.397,795,3270,18.5,10.1,2062,86.25,86.24
14076,500779,Jose Quintana,14076,100,0.258,0.133,0.307,0.391,848,3282,24.5,6.9,1980,87.67,87.66
13854,544931,Stephen Strasburg,13854,100,0.225,0.122,0.301,0.347,733,3263,24.7,7.2,2141,91.3,92.56
13642,150302,Jason Marquis,13642,100,0.28,0.155,0.302,0.435,934,3332,19.7,4.8,1705,86.53,84.71
13484,285064,Ryan Vogelsong,13484,100,0.257,0.152,0.298,0.409,799,3104,20.2,6.3,1986,86.63,87.46
13439,462136,Marco Estrada,13439,100,0.226,0.177,0.257,0.403,693,3065,23.9,9.4,2318,84.82,83.2
13419,458681,Lance Lynn,13419,100,0.248,0.126,0.313,0.373,739,2980,15.3,5.3,2321,90.26,90.54
13239,435178,Josh Johnson,13239,100,0.247,0.11,0.308,0.357,754,3052,,,,90.75,
13140,435043,Zach Duke,13140,100,0.29,0.154,0.32,0.443,947,3270,18.6,3.7,1885,84.18,84.33
13106,453385,Clayton Richard,13106,100,0.275,0.147,0.3,0.422,885,3221,24.8,3.9,2085,88.08,88.59
13096,458709,John Lannan,13096,100,0.275,0.141,0.296,0.416,870,3168,,,,85.27,
13082,453646,Carlos Villanueva,13082,100,0.256,0.171,0.297,0.427,791,3086,28.4,7.2,1920,83.61,84.27
12959,150404,Ted Lilly,12959,100,0.234,0.177,0.264,0.411,738,3155,,,,82.75,
12888,407296,Carlos Zambrano,12888,100,0.252,0.119,0.295,0.371,723,2873,,,,87.88,
12850,460069,Ricky Romero,12850,100,0.255,0.14,0.296,0.395,766,3006,,,,87.61,
12824,115817,Livan Hernandez,12824,100,0.303,0.157,0.323,0.46,975,3216,,,,80.6,
12757,451584,Wade Davis,12757,100,0.241,0.134,0.288,0.375,693,2877,18.7,10.2,2429,89.82,92.28
12713,400061,Roy Oswalt,12713,100,0.261,0.148,0.305,0.409,820,3147,,,,86.83,
12654,612672,Wei-Yin Chen,12654,100,0.264,0.177,0.295,0.441,811,3072,25.7,8.6,2007,87.83,87.28
12621,119154,Kevin Millwood,12621,100,0.282,0.156,0.313,0.438,864,3059,,,,86.85,
12581,120485,Andy Pettitte,12581,100,0.268,0.131,0.31,0.399,812,3029,,,,84.88,
12581,468504,Jhoulys Chacin,12581,100,0.25,0.145,0.289,0.395,738,2950,44.1,7.9,1852,86.61,85.7
12518,430580,Alfredo Simon,12518,100,0.269,0.178,0.294,0.446,801,2980,23.5,6.1,1946,89.02,87.55
12367,448802,Jaime Garcia,12367,100,0.256,0.113,0.305,0.37,803,3132,28.2,3,2231,86.36,86.9
12360,456043,Jonathan Sanchez,12360,100,0.238,0.164,0.293,0.402,620,2603,,,,87.58,
12335,435044,Scott Baker,12335,100,0.254,0.173,0.289,0.427,765,3008,18,8.7,2069,87.43,85.97
12327,448147,Nick Blackburn,12327,100,0.302,0.173,0.311,0.475,976,3237,,,,87.32,
12322,451788,Shaun Marcum,12322,100,0.241,0.16,0.274,0.401,708,2943,19,7.8,2250,82.51,80.84
12289,134320,Javier Vazquez,12289,100,0.245,0.166,0.29,0.411,718,2931,,,,85.26,
12251,408206,Brett Myers,12251,100,0.263,0.179,0.293,0.442,802,3047,,,,84.56,
12250,572971,Dallas Keuchel,12250,100,0.256,0.132,0.299,0.388,763,2979,23.8,1.7,1990,85.19,85.19
12153,136600,Bruce Chen,12153,100,0.273,0.174,0.296,0.446,769,2821,24.9,5.3,2178,81.78,79.26
12002,446372,Corey Kluber,12002,100,0.243,0.132,0.313,0.376,729,2996,23.8,6.3,2262,89.95,90.38
11972,453344,Brandon Morrow,11972,100,0.238,0.158,0.294,0.396,631,2647,18.5,4,2085,90.72,89.61
11816,543135,Nathan Eovaldi,11816,100,0.274,0.131,0.317,0.405,762,2778,24.9,4.4,1885,91.18,90.33
11727,527054,Julio Teheran,11727,100,0.238,0.147,0.278,0.385,666,2796,23.6,8.7,2006,86.53,86.56
11679,435221,Brandon McCarthy,11679,100,0.27,0.147,0.305,0.416,810,3002,20.9,7.9,2286,88.16,89.9
11636,279782,Jon Garland,11636,100,0.279,0.154,0.298,0.433,778,2788,,,,86.53,
11602,462102,Tommy Hanson,11602,100,0.246,0.152,0.296,0.398,659,2676,,,,85.91,
11560,518716,Dillon Gee,11560,100,0.262,0.152,0.294,0.414,742,2830,36.5,6.7,2193,85.54,85.26
11537,457453,Jair Jurrjens,11537,100,0.263,0.146,0.298,0.409,731,2780,,,,87.18,
